username,length,status_code
carlos,3244,200
root,3244,200
admin,3244,200
test,3244,200
guest,3244,200
info,3244,200
adm,3244,200
mysql,3244,200
user,3244,200
administrator,3244,200
oracle,3244,200
ftp,3244,200
pi,3244,200
puppet,3244,200
ansible,3244,200
ec2-user,3244,200
vagrant,3244,200
azureuser,3244,200
academico,3244,200
acceso,3244,200
access,3244,200
accounting,3244,200
accounts,3244,200
acid,3244,200
activestat,3244,200
ad,3244,200
adam,3244,200
adkit,3244,200
admin,3244,200
administracion,3244,200
administrador,3244,200
administrator,3244,200
administrators,3244,200
admins,3244,200
ads,3244,200
adserver,3244,200
adsl,3244,200
ae,3244,200
af,3244,200
affiliate,3244,200
affiliates,3244,200
afiliados,3244,200
ag,3244,200
agenda,3244,200
agent,3244,200
ai,3244,200
aix,3244,200
ajax,3244,200
ak,3244,200
akamai,3244,200
al,3244,200
alabama,3244,200
alaska,3244,200
albuquerque,3244,200
alerts,3244,200
alpha,3244,200
alterwind,3244,200
am,3244,200
amarillo,3244,200
americas,3244,200
an,3244,200
anaheim,3244,200
analyzer,3244,200
announce,3244,200
announcements,3244,200
antivirus,3244,200
ao,3244,200
ap,3244,200
apache,3246,200
apollo,3244,200
app,3244,200
app01,3244,200
app1,3244,200
apple,3244,200
application,3244,200
applications,3244,200
apps,3244,200
appserver,3244,200
aq,3244,200
ar,3244,200
archie,3244,200
arcsight,3244,200
argentina,3244,200
arizona,3244,200
arkansas,3244,200
arlington,3244,200
as,3244,200
as400,3244,200
asia,3244,200
asterix,3244,200
at,3244,200
athena,3244,200
atlanta,3244,200
atlas,3244,200
att,3244,200
au,3244,200
auction,3244,200
austin,3244,200
auth,3244,200
auto,3244,200
autodiscover,3244,200
