username,response_time,status_code
carlos,1479.773,200
root,1083.7730000000001,200
admin,1103.817,200
test,1139.142,200
guest,1089.201,200
info,1146.637,200
adm,1120.415,200
mysql,1105.357,200
user,1111.608,200
administrator,1099.809,200
oracle,1092.482,200
ftp,1119.736,200
pi,1215.247,200
puppet,1111.432,200
ansible,1096.36,200
ec2-user,1114.25,200
vagrant,1115.506,200
azureuser,1142.498,200
academico,1132.851,200
acceso,1137.406,200
access,1969.3419999999999,200
accounting,1091.1550000000002,200
accounts,1120.1680000000001,200
acid,1090.996,200
activestat,1094.746,200
ad,1101.186,200
adam,1089.156,200
adkit,1323.3429999999998,200
admin,1092.5149999999999,200
administracion,1084.693,200
administrador,1124.422,200
administrator,1092.1019999999999,200
administrators,1117.494,200
admins,1052.23,200
ads,1100.295,200
adserver,1089.481,200
adsl,1161.67,200
ae,1097.828,200
af,1081.769,200
affiliate,1100.403,200
affiliates,1112.5929999999998,200
afiliados,1111.5919999999999,200
ag,1066.501,200
agenda,1120.213,200
agent,1084.804,200
ai,1120.387,200
aix,1112.756,200
ajax,1086.1019999999999,200
ak,1090.1380000000001,200
akamai,1089.73,200
al,1089.833,200
alabama,1076.193,200
alaska,1073.0710000000001,200
albuquerque,1121.3990000000001,200
alerts,1096.486,200
alpha,1117.8349999999998,200
alterwind,1100.5249999999999,200
am,1086.128,200
amarillo,1076.278,200
americas,1127.758,200
an,1130.4460000000001,200
anaheim,1574.752,200
analyzer,1102.9389999999999,200
announce,1127.875,200
announcements,1097.61,200
antivirus,1072.887,200
ao,1092.873,200
ap,1098.552,200
apache,1097.478,200
apollo,1101.7140000000002,200
app,1397.95,200
app01,1096.726,200
app1,1064.699,200
apple,1100.423,200
application,1068.24,200
applications,1116.7469999999998,200
apps,1085.144,200
appserver,1102.9089999999999,200
aq,1119.4660000000001,200
ar,1167.86,200
archie,1061.032,200
arcsight,1125.897,200
argentina,1073.259,200
arizona,1150.406,200
arkansas,1092.171,200
arlington,1049.498,200
as,1065.4969999999998,200
as400,1097.9779999999998,200
asia,1086.84,200
asterix,1082.5430000000001,200
at,1111.7859999999998,200
athena,1088.497,200
atlanta,1395.7759999999998,200
atlas,1065.856,200
att,1123.891,200
au,1121.1299999999999,200
auction,1092.884,200
austin,1171.0529999999999,200
auth,1092.32,200
auto,1096.366,200
autodiscover,1085.763,200
